Area/SCP,isNA,IDna,IDnz,IDct,IZna,ODna,ODnz,ODct,OZna,IDnzPct,ODnzPct,IZnaPct,OZnaPct
"('N325A', '00-00-00')",0,0,13708,15086,0,0,14128,15086,0,0.9086570330107384,0.936497414821689,0.0,0.0
"('J020', '00-00-02')",0,0,14484,14919,0,0,14761,14919,0,0.9708425497687512,0.9894094778470408,0.0,0.0
"('R258', '00-00-03')",0,0,6585,7181,0,0,7149,7181,0,0.9170032028965324,0.9955437961286728,0.0,0.0
"('N305', '01-03-03')",0,0,13917,14951,0,0,14662,14951,0,0.9308407464383652,0.9806701892849976,0.0,0.0
"('N554', '01-06-00')",0,0,13110,14897,0,0,12272,14897,0,0.880042961670135,0.8237900248372155,0.0,0.0
"('H040', '00-00-00')",0,0,14614,14962,0,0,14690,14962,0,0.97674107739607,0.981820612217618,0.0,0.0
"('R219', '00-00-05')",0,0,14396,14935,0,0,14765,14935,0,0.9639102778707732,0.9886173418145296,0.0,0.0
"('N501', '01-06-00')",0,0,13016,15253,0,0,12269,15253,0,0.8533403264931488,0.8043663541598374,0.0,0.0
"('B021', '00-00-03')",0,0,14588,15033,0,0,14299,15033,0,0.9703984567285304,0.9511740836825652,0.0,0.0
"('PTH22', '02-01-03')",0,0,1212,1234,0,0,1233,1234,0,0.9821717990275528,0.9991896272285252,0.0,0.0
"('R618', '01-00-00')",0,0,14440,14868,0,0,14768,14868,0,0.9712133440947,0.9932741458165188,0.0,0.0
"('R606', '00-00-02')",0,0,13591,14842,0,0,13718,14842,0,0.9157121681714054,0.9242689664465704,0.0,0.0
"('C014', '00-03-01')",0,0,7734,8256,0,0,8013,8256,0,0.9367732558139537,0.9705668604651164,0.0,0.0
"('R196', '00-06-02')",6331,0,0,6331,6331,0,30,6331,0,0.0,0.0047385879008055,1.0,0.0
"('PTH16', '01-01-06')",0,0,12984,13762,0,0,13299,13762,0,0.943467519255922,0.9663566342101438,0.0,0.0
"('R417', '00-03-00')",0,0,14211,14922,0,0,14876,14922,0,0.9523522316043426,0.9969173033105482,0.0,0.0
"('E014', '00-05-01')",0,0,1,14899,0,0,143,14899,0,6.711859856366199e-05,0.0095979595946036,0.0,0.0
"('N324', '00-00-01')",0,0,15172,15613,0,0,15307,15613,0,0.9717543073080126,0.9804009479280088,0.0,0.0
"('R529', '00-00-03')",0,0,14801,14951,0,0,14913,14951,0,0.98996722627249,0.9974583639890308,0.0,0.0
"('PTH08', '00-01-04')",0,0,3087,3490,0,0,2696,3490,0,0.8845272206303725,0.7724928366762178,0.0,0.0
"('N114', '01-00-01')",0,0,14759,14894,0,0,14860,14894,0,0.9909359473613536,0.9977172015576742,0.0,0.0
"('R240', '00-03-08')",0,0,14352,15094,0,0,14727,15094,0,0.9508413939313636,0.975685702928316,0.0,0.0
"('N135', '01-05-01')",13554,0,0,13554,13554,0,243,13554,0,0.0,0.0179282868525896,1.0,0.0
"('R188', '00-00-02')",0,0,14228,14807,0,0,14314,14807,0,0.9608968731005606,0.9667049368541906,0.0,0.0
"('R169', '01-00-00')",0,0,14486,15010,0,0,14946,15010,0,0.9650899400399734,0.9957361758827448,0.0,0.0
"('N094', '01-03-04')",0,0,6605,8046,0,0,6761,8046,0,0.8209047974148646,0.8402933134476759,0.0,0.0
"('J003', '00-00-01')",0,0,14683,14954,0,0,14741,14954,0,0.9818777584592752,0.9857563193794302,0.0,0.0
"('C009', '03-05-01')",14987,0,0,14987,14987,0,326,14987,0,0.0,0.0217521852271969,1.0,0.0
"('N121B', '00-00-01')",0,0,14822,14902,0,0,14861,14902,0,0.994631593074755,0.997248691450812,0.0,0.0
"('R284', '00-00-00')",0,0,14035,14901,0,0,14847,14901,0,0.941883095094289,0.996376082142138,0.0,0.0
"('R514', '00-06-00')",0,0,3095,3564,0,0,3547,3564,0,0.8684062850729517,0.995230078563412,0.0,0.0
"('N607', '01-00-04')",0,0,14664,14906,0,0,14878,14906,0,0.983764926875084,0.9981215617871998,0.0,0.0
"('PTH18', '01-00-01')",0,0,13487,14001,0,0,13149,14001,0,0.9632883365473894,0.9391472037711592,0.0,0.0
"('N137', '00-06-00')",0,0,7334,10390,0,0,9080,10390,0,0.7058710298363812,0.8739172281039461,0.0,0.0
"('R194', '00-03-01')",14671,0,0,14671,14671,0,168,14671,0,0.0,0.0114511621566355,1.0,0.0
"('PTH06', '00-00-03')",0,0,13186,13765,0,0,13465,13765,0,0.957936796222303,0.9782055938975664,0.0,0.0
"('N116', '00-03-00')",0,0,14783,15054,0,0,14962,15054,0,0.981998140029228,0.993888667463797,0.0,0.0
"('R310', '01-05-01')",14924,0,0,14924,14924,0,233,14924,0,0.0,0.0156124363441436,1.0,0.0
"('E016', '00-00-02')",0,0,14661,14991,0,0,14597,14991,0,0.9779867920752452,0.9737175638716564,0.0,0.0
"('R244', '00-03-00')",0,0,14558,14903,0,0,14871,14903,0,0.9768502985975978,0.9978527813191976,0.0,0.0
"('N307', '00-00-02')",0,0,14008,14976,0,0,14125,14976,0,0.935363247863248,0.943175747863248,0.0,0.0
"('H009', '00-03-03')",0,0,14785,15293,0,0,14920,15293,0,0.966782187929118,0.975609756097561,0.0,0.0
"('N319', '01-00-00')",0,0,14024,14899,0,0,14155,14899,0,0.9412712262567956,0.9500637626686356,0.0,0.0
"('N338', '01-05-00')",14827,0,614,14827,0,0,0,14827,14827,0.0414109395022593,0.0,0.0,1.0
"('D002', '00-06-00')",4501,0,105,4501,0,0,0,4501,4501,0.0233281493001555,0.0,0.0,1.0
"('N183', '00-00-00')",0,0,14244,14992,0,0,14475,14992,0,0.9501067235859124,0.9655149413020278,0.0,0.0
"('R154', '00-00-01')",0,0,14445,14889,0,0,14598,14889,0,0.9701793270199476,0.9804553697360467,0.0,0.0
"('N129', '00-00-00')",0,0,14106,15054,0,0,14859,15054,0,0.937026703866082,0.9870466321243524,0.0,0.0
"('C008', '00-00-02')",0,0,14915,15047,0,0,15010,15047,0,0.991227487206752,0.9975410380806804,0.0,0.0
"('R730', '00-00-04')",0,0,4723,6437,0,0,5182,6437,0,0.7337268914090415,0.8050334006524779,0.0,0.0
"('R154', '00-00-00')",0,0,14501,14901,0,0,14679,14901,0,0.9731561640158378,0.98510167102879,0.0,0.0
"('N183', '00-00-01')",0,0,14502,14996,0,0,10529,14996,0,0.9670578821018938,0.7021205654841292,0.0,0.0
"('D002', '00-06-01')",4501,0,0,4501,4501,0,11,4501,0,0.0,0.0024439013552543,1.0,0.0
"('R625', '01-06-02')",0,0,14802,14945,0,0,14364,14945,0,0.9904315824690532,0.9611241217798596,0.0,0.0
"('C008', '00-00-03')",0,0,14798,15043,0,0,14964,15043,0,0.98371335504886,0.9947483879545304,0.0,0.0
"('N129', '00-00-01')",0,0,14183,15049,0,0,14810,15049,0,0.9424546481493788,0.9841185460827964,0.0,0.0
"('N307', '00-00-03')",0,0,14109,14971,0,0,13958,14971,0,0.9424220158974016,0.9323358493086634,0.0,0.0
"('R244', '00-03-01')",0,0,14790,14904,0,0,14894,14904,0,0.9923510466988728,0.9993290391841116,0.0,0.0
"('R310', '01-05-00')",14967,0,3438,14967,0,0,0,14967,14967,0.2297053517739025,0.0,0.0,1.0
"('N338', '01-05-01')",14880,0,0,14880,14880,0,190,14880,0,0.0,0.012768817204301,1.0,0.0
"('H009', '00-03-02')",0,0,14677,15291,0,0,14924,15291,0,0.9598456608462494,0.975998953632856,0.0,0.0
"('N319', '01-00-01')",0,0,13835,14901,0,0,14016,14901,0,0.928461177102208,0.9406080128850411,0.0,0.0
"('A077', '03-03-02')",0,0,13631,15015,0,0,14769,15015,0,0.907825507825508,0.9836163836163836,0.0,0.0
"('PTH18', '01-00-00')",0,0,13207,13986,0,0,11697,13986,0,0.9443014443014442,0.8363363363363363,0.0,0.0
"('PTH12', '00-00-04')",0,0,12972,14065,0,0,13610,14065,0,0.9222893707785282,0.9676501955207965,0.0,0.0
