       area  unit       scp station    lines  div        desc        i        o                  dt
1933291  A035  R170  00-00-01  14 ST-UNION SQ  LNQR456W  BMT  RECOVR AUD  221306  794172 2019-03-27 17:00:00
1933292  A035  R170  00-00-01  14 ST-UNION SQ  LNQR456W  BMT     REGULAR  221553  794994 2019-03-27 21:00:00
1933293  A035  R170  00-00-01  14 ST-UNION SQ  LNQR456W  BMT     REGULAR  221639  795072 2019-03-28 01:00:00
1933294  A035  R170  00-00-01  14 ST-UNION SQ  LNQR456W  BMT     REGULAR  221641  795076 2019-03-28 05:00:00
1933295  A035  R170  00-00-01  14 ST-UNION SQ  LNQR456W  BMT     REGULAR  221692  795703 2019-03-28 09:00:00



         area  unit       scp         station     lines  div        desc       i        o                  dt
1948331  A035  R170  00-00-02  14 ST-UNION SQ  LNQR456W  BMT     REGULAR  692260  1642115 2019-03-27 05:00:00
1948332  A035  R170  00-00-02  14 ST-UNION SQ  LNQR456W  BMT     REGULAR  692353  1643186 2019-03-27 09:00:00
1948333  A035  R170  00-00-02  14 ST-UNION SQ  LNQR456W  BMT     REGULAR  692566  1644190 2019-03-27 13:00:00
1948334  A035  R170  00-00-02  14 ST-UNION SQ  LNQR456W  BMT     REGULAR  693092  1644818 2019-03-27 17:00:00
1948335  A035  R170  00-00-02  14 ST-UNION SQ  LNQR456W  BMT  RECOVR AUD  693088  1644818 2019-03-27 17:00:00
1948336  A035  R170  00-00-02  14 ST-UNION SQ  LNQR456W  BMT     REGULAR  693626  1645662 2019-03-27 21:00:00
1948337  A035  R170  00-00-02  14 ST-UNION SQ  LNQR456W  BMT     REGULAR  693777  1645769 2019-03-28 01:00:00
1948338  A035  R170  00-00-02  14 ST-UNION SQ  LNQR456W  BMT     REGULAR  693783  1645782 2019-03-28 05:00:00
1948339  A035  R170  00-00-02  14 ST-UNION SQ  LNQR456W  BMT     REGULAR  693857  1646874 2019-03-28 09:00:00



         area  unit       scp         station     lines  div        desc        i        o                  dt
1963376  A035  R170  00-00-03  14 ST-UNION SQ  LNQR456W  BMT     REGULAR  3896686  3259656 2019-03-27 05:00:00
1963377  A035  R170  00-00-03  14 ST-UNION SQ  LNQR456W  BMT     REGULAR  3897017  3260457 2019-03-27 09:00:00
1963378  A035  R170  00-00-03  14 ST-UNION SQ  LNQR456W  BMT     REGULAR  3897486  3261125 2019-03-27 13:00:00
1963379  A035  R170  00-00-03  14 ST-UNION SQ  LNQR456W  BMT     REGULAR  3898302  3261439 2019-03-27 17:00:00
1963380  A035  R170  00-00-03  14 ST-UNION SQ  LNQR456W  BMT  RECOVR AUD  3898301  3261439 2019-03-27 17:00:00
1963381  A035  R170  00-00-03  14 ST-UNION SQ  LNQR456W  BMT     REGULAR  3899285  3261725 2019-03-27 21:00:00
1963382  A035  R170  00-00-03  14 ST-UNION SQ  LNQR456W  BMT     REGULAR  3899498  3261806 2019-03-28 01:00:00
1963383  A035  R170  00-00-03  14 ST-UNION SQ  LNQR456W  BMT     REGULAR  3899510  3261827 2019-03-28 05:00:00
1963384  A035  R170  00-00-03  14 ST-UNION SQ  LNQR456W  BMT     REGULAR  3899805  3262632 2019-03-28 09:00:00



         area  unit       scp         station     lines  div        desc        i       o                  dt
1978393  A035  R170  00-00-04  14 ST-UNION SQ  LNQR456W  BMT     REGULAR  2084669  378848 2019-03-27 05:00:00
1978394  A035  R170  00-00-04  14 ST-UNION SQ  LNQR456W  BMT     REGULAR  2085508  379129 2019-03-27 09:00:00
1978395  A035  R170  00-00-04  14 ST-UNION SQ  LNQR456W  BMT     REGULAR  2086506  379346 2019-03-27 13:00:00
1978396  A035  R170  00-00-04  14 ST-UNION SQ  LNQR456W  BMT     REGULAR  2087755  379456 2019-03-27 17:00:00
1978397  A035  R170  00-00-04  14 ST-UNION SQ  LNQR456W  BMT  RECOVR AUD  2087753  379456 2019-03-27 17:00:00
1978398  A035  R170  00-00-04  14 ST-UNION SQ  LNQR456W  BMT     REGULAR  2089249  379536 2019-03-27 21:00:00
1978399  A035  R170  00-00-04  14 ST-UNION SQ  LNQR456W  BMT     REGULAR  2089694  379576 2019-03-28 01:00:00
1978400  A035  R170  00-00-04  14 ST-UNION SQ  LNQR456W  BMT     REGULAR  2089714  379588 2019-03-28 05:00:00
1978401  A035  R170  00-00-04  14 ST-UNION SQ  LNQR456W  BMT     REGULAR  2090574  379869 2019-03-28 09:00:00



         area  unit       scp   station    lines  div        desc         i        o                  dt
2733433  A046  R463  00-06-02  CANAL ST  JNQRZ6W  BMT     REGULAR  11321361  2223516 2019-02-19 08:00:00
2733434  A046  R463  00-06-02  CANAL ST  JNQRZ6W  BMT     REGULAR  11322377  2223623 2019-02-19 12:00:00
